Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_1_1_1_10_1_1_5_2_5_0.2_5,4532,34.76,10.00,90.00,3000,6,1605,53.50,0,0,0.0,6,Bots Recharged for WPT: 6
1_1_1_10_10_1_1_5_2_5_0.2_5,3189,36.44,40.00,60.00,3000,3,1559,51.97,0,44.000000000000185,7.333333333333364,5,Bots Recharged for WPT: 3
1_1_1_20_10_1_1_5_2_5_0.2_5,4544,34.20,10.00,90.00,3000,7,1455,48.50,0,88.80000000000004,14.800000000000006,5,Bots Recharged for WPT: 7
1_1_1_50_10_1_1_5_2_5_0.2_5,4554,35.84,10.00,90.00,3000,5,170,5.67,0,99.2,36.00000000000003,3,Bots Recharged for WPT: 5
1_1_10_1_10_1_1_5_2_5_0.2_5,3584,36.20,40.00,60.00,3000,6,1278,42.60,0,24.800000000000175,4.133333333333362,5,Bots Recharged for WPT: 6
1_1_10_10_10_1_1_5_2_5_0.2_5,5000,32.40,0.00,100.00,3000,9,967,32.23,0,98.4,50.80000000000005,2,Bots Recharged for WPT: 9
1_1_10_20_10_1_1_5_2_5_0.2_5,4191,32.32,20.00,80.00,3000,3,1805,60.17,0,0,0.0,6,Bots Recharged for WPT: 3
1_1_10_50_10_1_1_5_2_5_0.2_5,4594,30.60,10.00,90.00,3000,3,1766,58.87,0,0,0.0,6,Bots Recharged for WPT: 3
1_1_20_1_10_1_1_5_2_5_0.2_5,4053,35.48,20.00,80.00,3000,12,1571,52.37,0,83.20000000000006,21.733333333333366,4,Bots Recharged for WPT: 12
1_1_20_10_10_1_1_5_2_5_0.2_5,5000,33.68,0.00,100.00,3000,32,990,33.00,0,100,49.333333333333336,3,Bots Recharged for WPT: 32
1_1_20_20_10_1_1_5_2_5_0.2_5,3643,30.96,30.00,70.00,3000,6,810,27.00,0,98.4,32.26666666666667,4,Bots Recharged for WPT: 6
1_1_20_50_10_1_1_5_2_5_0.2_5,5000,30.16,0.00,100.00,3000,3,775,25.83,0,43.20000000000019,19.2000000000001,3,Bots Recharged for WPT: 3
