Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_1_1_1_10_1_1_5_2_5_0.2_5,5000,32.32,0.00,100.00,3000,26,980,32.67,0,100,29.210784886251233,3,Bots Recharged for WPT: 26
1_1_1_10_10_1_1_5_2_5_0.2_5,5000,25.92,0.00,100.00,3000,11,592,19.73,0,100,33.733333333333384,3,Bots Recharged for WPT: 11
1_1_1_20_10_1_1_5_2_5_0.2_5,5000,14.44,0.00,100.00,3000,4,18,0.60,41.600000000000186,100,76.40000000000008,0,Bots Recharged for WPT: 4
1_1_1_50_10_1_1_5_2_5_0.2_5,5000,19.24,0.00,100.00,3000,15,173,5.77,0,100,33.06666666666671,3,Bots Recharged for WPT: 15
1_1_10_1_10_1_1_5_2_5_0.2_5,5000,22.12,0.00,100.00,3000,20,905,30.17,0,100,40.00000000000003,3,Bots Recharged for WPT: 20
1_1_10_10_10_1_1_5_2_5_0.2_5,5000,25.88,0.00,100.00,3000,26,207,6.90,24.800000000000235,100,68.66666666666677,0,Bots Recharged for WPT: 26
1_1_10_20_10_1_1_5_2_5_0.2_5,5000,20.80,0.00,100.00,3000,11,218,7.27,0,100,41.20000000000014,1,Bots Recharged for WPT: 11
1_1_10_50_10_1_1_5_2_5_0.2_5,5000,16.96,0.00,100.00,3000,11,434,14.47,0,100,68.93333333333338,1,Bots Recharged for WPT: 11
1_1_20_1_10_1_1_5_2_5_0.2_5,5000,27.28,0.00,100.00,3000,50,1129,37.63,0,100,16.666666666666668,5,Bots Recharged for WPT: 50
1_1_20_10_10_1_1_5_2_5_0.2_5,5000,16.04,0.00,100.00,3000,3,1332,44.40,0,100,24.933333333333366,4,Bots Recharged for WPT: 3
1_1_20_20_10_1_1_5_2_5_0.2_5,5000,24.08,0.00,100.00,3000,10,672,22.40,0,100,37.200000000000045,3,Bots Recharged for WPT: 10
1_1_20_50_10_1_1_5_2_5_0.2_5,5000,21.92,0.00,100.00,3000,9,351,11.70,0,100,47.86666666666678,1,Bots Recharged for WPT: 9
1_1_50_1_10_1_1_5_2_5_0.2_5,5000,25.36,0.00,100.00,3000,30,103,3.43,8.019618222602757,100,58.003269703767195,0,Bots Recharged for WPT: 30
1_1_50_10_10_1_1_5_2_5_0.2_5,5000,17.04,0.00,100.00,3000,16,1001,33.37,0,100,34.400000000000055,3,Bots Recharged for WPT: 16
1_1_50_20_10_1_1_5_2_5_0.2_5,5000,18.28,0.00,100.00,3000,10,39,1.30,0,100,56.400000000000034,2,Bots Recharged for WPT: 10
1_1_50_50_10_1_1_5_2_5_0.2_5,5000,21.60,0.00,100.00,3000,16,254,8.47,0,100,68.26666666666672,1,Bots Recharged for WPT: 16
1_10_1_1_10_1_1_5_2_5_0.2_5,5000,29.00,0.00,100.00,3000,23,1367,45.57,0,100,45.86666666666668,3,Bots Recharged for WPT: 23
1_10_1_10_10_1_1_5_2_5_0.2_5,5000,20.28,0.00,100.00,3000,12,81,2.70,15.200000000000214,100,72.40000000000008,0,Bots Recharged for WPT: 12
1_10_1_20_10_1_1_5_2_5_0.2_5,5000,19.24,0.00,100.00,3000,5,49,1.63,0,100,68.40000000000005,1,Bots Recharged for WPT: 5
1_10_1_50_10_1_1_5_2_5_0.2_5,5000,8.84,0.00,100.00,3000,0,0,0.00,68.80000000000011,100,83.06666666666673,0,Bots Recharged for WPT: 0
1_10_10_1_10_1_1_5_2_5_0.2_5,5000,30.60,0.00,100.00,3000,37,1341,44.70,0,100,16.666666666666668,5,Bots Recharged for WPT: 37
1_10_10_10_10_1_1_5_2_5_0.2_5,5000,22.64,0.00,100.00,3000,18,254,8.47,0,100,29.42501270229737,2,Bots Recharged for WPT: 18
1_10_10_20_10_1_1_5_2_5_0.2_5,5000,27.00,0.00,100.00,3000,23,205,6.83,4.76589760346261,100,62.394316267243845,0,Bots Recharged for WPT: 23
1_10_10_50_10_1_1_5_2_5_0.2_5,5000,21.52,0.00,100.00,3000,7,311,10.37,0,100,62.9333333333334,1,Bots Recharged for WPT: 7
1_10_20_1_10_1_1_5_2_5_0.2_5,5000,24.04,0.00,100.00,3000,26,535,17.83,0,100,49.200000000000124,1,Bots Recharged for WPT: 26
