Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_1_1_1_10_1_1_5_2_5_0.2_5,3871,25.20,50.00,50.00,3000,3,278,9.27,0,100,50.66666666666672,2,Bots Recharged for WPT: 3
1_1_1_10_10_1_1_5_2_5_0.2_5,4319,24.48,20.00,80.00,3000,5,323,10.77,0,100,55.78022114627502,1,Bots Recharged for WPT: 5
1_1_1_20_10_1_1_5_2_5_0.2_5,5000,25.16,0.00,100.00,3000,7,232,7.73,28.658856220453753,100,66.24314270340903,0,Bots Recharged for WPT: 7
1_1_1_50_10_1_1_5_2_5_0.2_5,4088,22.52,50.00,50.00,3000,6,200,6.67,14.859011788419252,100,68.47650196473658,0,Bots Recharged for WPT: 6
1_1_10_1_10_1_1_5_2_5_0.2_5,5000,22.56,0.00,100.00,3000,5,888,29.60,0,100,59.733333333333356,2,Bots Recharged for WPT: 5
1_1_10_10_10_1_1_5_2_5_0.2_5,5000,23.16,0.00,100.00,3000,5,460,15.33,0,100,59.733333333333405,1,Bots Recharged for WPT: 5
1_1_10_20_10_1_1_5_2_5_0.2_5,4310,24.92,20.00,80.00,3000,7,232,7.73,67.20000000000012,100,85.60000000000007,0,Bots Recharged for WPT: 7
1_1_10_50_10_1_1_5_2_5_0.2_5,5000,18.60,0.00,100.00,3000,5,267,8.90,0,100,54.00000000000005,2,Bots Recharged for WPT: 5
1_1_20_1_10_1_1_5_2_5_0.2_5,4883,25.32,10.00,90.00,3000,6,203,6.77,28.000000000000156,100,64.4000000000001,0,Bots Recharged for WPT: 6
1_1_20_10_10_1_1_5_2_5_0.2_5,4899,21.72,10.00,90.00,3000,7,188,6.27,40.80000000000011,100,76.40000000000006,0,Bots Recharged for WPT: 7
1_1_20_20_10_1_1_5_2_5_0.2_5,5000,22.28,0.00,100.00,3000,5,182,6.07,0,100,63.3333333333334,1,Bots Recharged for WPT: 5
